Factor,Item,Loading,SE,Z_value,P_value,Significant,Analysis_Type,Sample_Size
health_concern,q6,0.8903,,,,False,multiple_factors,300
health_concern,q7,0.8901,0.0361,25.4477,7.484766266143132e-143,True,multiple_factors,300
health_concern,q8,0.7924,0.038,19.2528,1.3373379141517672e-82,True,multiple_factors,300
health_concern,q9,0.8681,0.0334,23.7821,5.12026837517045e-125,True,multiple_factors,300
health_concern,q10,0.8039,0.0364,19.8433,1.258458373490449e-87,True,multiple_factors,300
health_concern,q11,0.8726,0.0362,24.1049,2.2213435716583969e-128,True,multiple_factors,300
perceived_benefit,q12,0.8999,,,,False,multiple_factors,300
perceived_benefit,q13,0.4531,0.0482,8.4176,3.841932659406452e-17,True,multiple_factors,300
perceived_benefit,q14,0.8757,0.0352,25.7338,4.899284026147024e-146,True,multiple_factors,300
perceived_benefit,q15,0.8052,0.0387,20.646,1.0605867193868505e-94,True,multiple_factors,300
perceived_benefit,q16,0.6355,0.0479,13.3111,1.9958901315812005e-40,True,multiple_factors,300
perceived_benefit,q17,0.7258,0.0472,16.6659,2.3214142931088944e-62,True,multiple_factors,300
purchase_intention,q18,0.9446,,,,False,multiple_factors,300
purchase_intention,q19,0.937,0.0304,35.1141,4.100351460317959e-270,True,multiple_factors,300
purchase_intention,q20,0.9221,0.0308,32.7323,5.424419479737025e-235,True,multiple_factors,300
perceived_price,q27,0.9799,,,,False,multiple_factors,300
perceived_price,q28,0.6178,0.0426,12.4052,2.449216896520644e-35,True,multiple_factors,300
perceived_price,q29,0.8549,0.0407,20.7936,4.944839081944303e-96,True,multiple_factors,300
nutrition_knowledge,q30,0.8322,,,,False,multiple_factors,300
nutrition_knowledge,q31,0.5253,0.0465,10.0136,1.3286218869828994e-23,True,multiple_factors,300
nutrition_knowledge,q32,0.7088,0.0445,15.2917,8.68501269767e-53,True,multiple_factors,300
nutrition_knowledge,q33,-0.4567,0.049,-8.4345,3.3265064857891814e-17,True,multiple_factors,300
nutrition_knowledge,q34,0.7514,0.051,16.8722,7.208399275632093e-64,True,multiple_factors,300
nutrition_knowledge,q35,0.7509,0.0452,16.8521,1.0126132894505342e-63,True,multiple_factors,300
nutrition_knowledge,q36,0.667,0.0536,13.9025,6.116158981174247e-44,True,multiple_factors,300
nutrition_knowledge,q37,-0.1072,0.0515,-1.8226,0.06836682764990887,False,multiple_factors,300
nutrition_knowledge,q38,0.7608,0.0532,17.2489,1.1406288278302728e-66,True,multiple_factors,300
nutrition_knowledge,q39,0.7634,0.0495,17.3546,1.821128193333008e-67,True,multiple_factors,300
nutrition_knowledge,q40,-0.2831,0.0498,-4.9481,7.494665376326813e-07,True,multiple_factors,300
nutrition_knowledge,q41,0.2544,0.047,4.4183,9.946505615644475e-06,True,multiple_factors,300
nutrition_knowledge,q42,0.7808,0.0471,18.089,3.8887573381298476e-73,True,multiple_factors,300
nutrition_knowledge,q43,0.7845,0.0448,18.2508,2.0400172324526652e-74,True,multiple_factors,300
nutrition_knowledge,q44,0.8002,0.0461,18.959,3.7242223057777246e-80,True,multiple_factors,300
nutrition_knowledge,q45,0.8657,0.043,22.4104,3.113802688629229e-111,True,multiple_factors,300
nutrition_knowledge,q46,0.743,0.0466,16.5443,1.758927282527802e-61,True,multiple_factors,300
nutrition_knowledge,q47,-0.7411,0.0471,-16.4724,5.793310978291968e-61,True,multiple_factors,300
nutrition_knowledge,q48,0.5795,0.0456,11.3803,5.242779379384445e-30,True,multiple_factors,300
nutrition_knowledge,q49,0.4952,0.0563,9.3023,1.3737607671263076e-20,True,multiple_factors,300
